Points,Weights
"[0.5307038  0.8436176  0.04667958 0.09257856 0.3087435  0.587201
 0.5200513  0.8366402  0.43540424 0.55494934 0.3459353  0.3941137
 0.02237711 0.16563088 0.45453277 0.46632746 0.68250823 0.8984815
 0.21740575 0.34391907 0.6994558  0.8824662 ]",0.022222223
"[0.37440017 0.92181814 0.31983167 0.39915803 0.97050506 0.02621827
 0.15704107 0.36341807 0.28372988 0.873748   0.17589873 0.23344193
 0.13187438 0.03149006 0.35829505 0.89678794 0.71389407 0.8567244
 0.62262344 0.2896627  0.61642224 0.02441431]",0.022222223
"[0.14552608 0.33972964 0.7520442  0.6529278  0.27257302 0.43403104
 0.81237525 0.9941552  0.7070439  0.5093966  0.7593624  0.16155873
 0.591324   0.1036038  0.27658936 0.16040446 0.71792036 0.82345396
 0.3060772  0.7165264  0.78212786 0.39684692]",0.022222223
"[0.5671194  0.70645535 0.74557376 0.9462088  0.08418641 0.300285
 0.74469566 0.847878   0.9565257  0.893176   0.5933325  0.02688874
 0.50179225 0.18553369 0.0835319  0.9182336  0.8958686  0.00754041
 0.6822425  0.4988401  0.46187028 0.24335676]",0.022222223
"[0.77206343 0.30842635 0.55617344 0.60524994 0.8660775  0.6451008
 0.00731743 0.13559131 0.7701322  0.5355462  0.11696635 0.16859461
 0.9602993  0.8848771  0.44451264 0.2791883  0.02074927 0.56412077
 0.12857983 0.11185794 0.51089966 0.5079539 ]",0.022222223
"[0.2577383  0.86647564 0.13106506 0.890378   0.8437366  0.06957913
 0.36652914 0.5779321  0.5523732  0.5451007  0.65794444 0.60422784
 0.2003853  0.74759704 0.05880766 0.13345794 0.29994932 0.28913328
 0.46043256 0.08498293 0.4392987  0.5328872 ]",0.022222223
"[0.1693699  0.54719275 0.80859244 0.31957722 0.5463484  0.41141182
 0.6632143  0.79325485 0.9840206  0.70463836 0.9634114  0.50168926
 0.04923468 0.2622286  0.81837505 0.4415783  0.20306408 0.14105478
 0.01662023 0.07304601 0.44383353 0.7035593 ]",0.022222223
"[0.8396256  0.04112483 0.7482667  0.07238258 0.4195617  0.2853672
 0.40474278 0.4080749  0.04100373 0.09881499 0.42556387 0.5691621
 0.21133952 0.6834244  0.11205758 0.40039146 0.9538795  0.3339104
 0.9784199  0.7420461  0.0696608  0.75279915]",0.022222223
"[0.44406453 0.36774954 0.8582854  0.06140717 0.58354217 0.3626806
 0.8305258  0.6901412  0.7584357  0.5883753  0.37945092 0.38411787
 0.08155052 0.79724693 0.88606644 0.7814116  0.1192455  0.6055626
 0.1849593  0.26236823 0.26676035 0.59006214]",0.022222223
"[0.1878654  0.5637408  0.40028185 0.6893862  0.0916177  0.16711733
 0.18294254 0.8110262  0.29995802 0.8490783  0.6454322  0.64710015
 0.4087416  0.39728773 0.6367267  0.29246786 0.42803642 0.6661175
 0.09655064 0.281889   0.9135071  0.06392355]",0.022222223
"[0.47739047 0.9954397  0.5527965  0.36832315 0.04391973 0.7172988
 0.11572703 0.33819085 0.31239128 0.4112199  0.5090333  0.90446216
 0.53187656 0.97632504 0.78567904 0.11677004 0.7153941  0.17319939
 0.4226076  0.71344805 0.686366   0.832134  ]",0.022222223
"[0.30032843 0.57702094 0.66245204 0.01040335 0.8700159  0.07991655
 0.5410963  0.42768374 0.2135023  0.50819486 0.8531129  0.3287838
 0.16794741 0.31517202 0.02007475 0.686193   0.2101738  0.19466174
 0.32005653 0.83283895 0.7726641  0.8428402 ]",0.022222223
"[0.7627402  0.4012633  0.27263826 0.4854396  0.93302274 0.58912045
 0.2421235  0.21545683 0.02303241 0.5377995  0.21444088 0.02101665
 0.9304004  0.1723988  0.5731489  0.6127832  0.4512849  0.19142337
 0.07462967 0.9176095  0.613602   0.8821336 ]",0.022222223
"[0.29315072 0.74029285 0.29304117 0.340177   0.17579941 0.625861
 0.711942   0.5374787  0.37113768 0.23322617 0.76992834 0.07351857
 0.76143634 0.33226335 0.42015374 0.56035286 0.19533828 0.7320844
 0.686115   0.13187559 0.615228   0.6360831 ]",0.022222223
"[0.7776111  0.5086087  0.04776548 0.30221432 0.68306816 0.3009183
 0.73983866 0.8026524  0.21652934 0.46831018 0.6667228  0.61621445
 0.49259663 0.5406618  0.20704739 0.49220192 0.8524541  0.9761353
 0.86624414 0.638939   0.748272   0.22826013]",0.022222223
"[0.10395403 0.17616616 0.9988048  0.6831298  0.12947083 0.65597105
 0.84106386 0.9998074  0.95811266 0.79024684 0.38585833 0.29105267
 0.9113549  0.8114654  0.3466042  0.9267225  0.7370093  0.8813764
 0.27175662 0.7104917  0.37430656 0.8507741 ]",0.022222223
"[0.39260224 0.7805369  0.46066332 0.5563079  0.33796835 0.7108212
 0.12304401 0.66896254 0.13553138 0.01373693 0.10606816 0.89266247
 0.8187191  0.98767453 0.8907928  0.03725224 0.1318167  0.47328293
 0.2492575  0.88026404 0.17715193 0.22735581]",0.022222223
"[0.03326792 0.31824037 0.8701595  0.8108353  0.8660775  0.88001287
 0.8823951  0.35994792 0.73392314 0.90276104 0.6336319  0.9998381
 0.8103319  0.8518114  0.47741404 0.6995871  0.5018006  0.4274729
 0.33112222 0.255434   0.16854715 0.7792596 ]",0.022222223
"[0.9044025  0.5130566  0.14406808 0.7744353  0.8170875  0.4827521
 0.24265352 0.8868467  0.71444225 0.16358097 0.9695519  0.88337445
 0.24116436 0.8124613  0.3672     0.33905217 0.9402007  0.603265
 0.18167655 0.4096805  0.41121313 0.3685728 ]",0.022222223
"[0.6104677  0.9801398  0.4051082  0.14657556 0.5576108  0.7070439
 0.7741336  0.04566386 0.39387605 0.17197111 0.27541038 0.75833625
 0.12495197 0.6801702  0.9294939  0.48400778 0.13860002 0.36110514
 0.69548166 0.11687113 0.7589392  0.03279422]",0.022222223
"[0.03687176 0.03145982 0.30370572 0.7070438  0.0170414  0.91272074
 0.27731088 0.6949935  0.5035906  0.07361708 0.85555595 0.81483704
 0.9973236  0.7690964  0.3018677  0.87871236 0.46469784 0.85357827
 0.07967591 0.4352631  0.01459799 0.2742945 ]",0.022222223
"[0.68729424 0.22745135 0.52813774 0.6234545  0.5978036  0.17635068
 0.08741385 0.31662375 0.7331875  0.9878637  0.725672   0.4673451
 0.7283654  0.01282988 0.15178996 0.692949   0.17725728 0.85585517
 0.18345958 0.30202517 0.13213868 0.6893485 ]",0.022222223
"[0.4541459  0.92914623 0.744402   0.6322436  0.5482932  0.32182407
 0.3873228  0.62609994 0.76800615 0.19342124 0.8646266  0.4707346
 0.07580928 0.23144169 0.94927794 0.9394556  0.0315023  0.9297994
 0.8269233  0.8394787  0.9332994  0.19978853]",0.022222223
"[0.7426233  0.78980446 0.26630607 0.5057331  0.37189198 0.7864732
 0.34875515 0.2709377  0.6091821  0.5888836  0.24688093 0.6225723
 0.8323839  0.43889657 0.69078004 0.28478557 0.6564249  0.16324276
 0.30987465 0.29326773 0.96588534 0.33412454]",0.022222223
"[0.5345377  0.3537651  0.99914503 0.9653945  0.09254441 0.08969188
 0.09589306 0.5480192  0.35270196 0.21507518 0.3124666  0.68486744
 0.18955494 0.5881619  0.5350947  0.17316991 0.5156625  0.9578348
 0.21945529 0.59895784 0.36687523 0.98347837]",0.022222223
"[0.04550694 0.04924408 0.97726977 0.14046945 0.6191573  0.41141182
 0.39213037 0.3868908  0.8550599  0.48117286 0.02250107 0.16065039
 0.24821398 0.7678034  0.31161994 0.96261024 0.31284395 0.46203923
 0.9498413  0.801421   0.9340102  0.7220377 ]",0.022222223
"[0.3107744  0.28021342 0.3537975  0.8175619  0.34068522 0.02634603
 0.75051606 0.93034106 0.33978042 0.12080652 0.0604715  0.7168209
 0.36493546 0.24876498 0.66058135 0.6549969  0.9135072  0.94632405
 0.54439384 0.05650961 0.06874292 0.94671917]",0.022222223
"[0.7975923  0.80174994 0.03480255 0.9090465  0.9822139  0.9507777
 0.0602303  0.26819062 0.1301546  0.96095943 0.27377924 0.23528026
 0.8122994  0.26857296 0.41454908 0.38668817 0.37541798 0.1346797
 0.96480656 0.34049284 0.69586474 0.9081143 ]",0.022222223
"[0.8241563  0.65544736 0.8846406  0.4118543  0.26011038 0.9728969
 0.6790512  0.01902114 0.33978042 0.20223045 0.89611197 0.41885602
 0.04332907 0.45505765 0.79259586 0.60117036 0.634436   0.6419075
 0.7617328  0.45946372 0.35565174 0.02410795]",0.022222223
"[0.13490774 0.79974586 0.13838843 0.41593134 0.6720909  0.48121792
 0.14820558 0.91205186 0.183922   0.82891893 0.10936031 0.36562568
 0.81937134 0.29574347 0.92351216 0.09810582 0.06408998 0.30991876
 0.6712223  0.9626877  0.3164241  0.5979613 ]",0.022222223
"[0.34351587 0.46669993 0.8200879  0.07565857 0.58306754 0.97060615
 0.44303197 0.8320221  0.327483   0.81384885 0.02642824 0.4359832
 0.31055632 0.648753   0.7145858  0.8275681  0.35176146 0.5499013
 0.91355455 0.4450468  0.9466598  0.13027579]",0.022222223
"[0.44950122 0.54579437 0.61344314 0.7153526  0.45132685 0.07906327
 0.773955   0.69676334 0.7100348  0.23303315 0.74935305 0.95758724
 0.4964052  0.03306268 0.82973474 0.0816725  0.57784647 0.67776865
 0.39933556 0.73610187 0.07637147 0.5387027 ]",0.022222223
"[0.17538612 0.5156498  0.4365677  0.837378   0.25120753 0.79958284
 0.45086858 0.21232009 0.05075642 0.0625103  0.98112303 0.3606216
 0.4623974  0.61491454 0.8177571  0.89278567 0.9220309  0.15424652
 0.5401818  0.23633227 0.2730113  0.5427723 ]",0.022222223
"[0.9772917  0.21706021 0.73316455 0.18423074 0.4295918  0.89247006
 0.38172126 0.6039324  0.12484525 0.8579476  0.4397881  0.08020611
 0.68512636 0.13966085 0.20114452 0.48090738 0.91214675 0.40425012
 0.81252843 0.9405674  0.8356743  0.20675582]",0.022222223
"[0.4485037  0.41395217 0.05291171 0.35906646 0.8882878  0.91926765
 0.59767675 0.66942394 0.26106492 0.7741242  0.28114724 0.09925339
 0.5595124  0.8374668  0.111164   0.9309177  0.6620721  0.17681903
 0.51867646 0.9435151  0.17004828 0.32323924]",0.022222223
"[0.7490492  0.16132    0.6863215  0.61437523 0.8061809  0.19198905
 0.9979962  0.15761475 0.9991703  0.03372596 0.0672353  0.83702904
 0.5119766  0.5095575  0.37633523 0.19942929 0.28179488 0.0257271
 0.6222462  0.6596736  0.53518313 0.58122855]",0.022222223
"[0.98201925 0.7245709  0.24216259 0.22150318 0.15785092 0.16346377
 0.4270386  0.42251042 0.73726326 0.30565134 0.83087707 0.09570505
 0.41758883 0.97766626 0.99519944 0.13830626 0.5430211  0.6598801
 0.39891368 0.40333462 0.66218346 0.11313757]",0.022222223
"[0.6561104  0.7994486  0.22892088 0.8195686  0.49907517 0.6922326
 0.9638307  0.31881925 0.80010664 0.3612084  0.43106776 0.41534555
 0.40970287 0.31163898 0.6701341  0.46632746 0.81694704 0.44835648
 0.64387447 0.3875922  0.11837838 0.62301916]",0.022222223
"[0.6315387  0.37913597 0.25154495 0.46976897 0.43788105 0.80716264
 0.56938976 0.72101885 0.7311352  0.3750401  0.67410755 0.8768898
 0.45923457 0.5753644  0.61288655 0.7856463  0.23332493 0.26386535
 0.79481965 0.06164884 0.5431509  0.2423544 ]",0.022222223
"[0.8848737  0.09043667 0.73413336 0.9838414  0.62335336 0.4205681
 0.9480225  0.23924398 0.43981725 0.30166042 0.43543163 0.70044786
 0.54032636 0.40081966 0.0066497  0.47464746 0.41406503 0.6810702
 0.9439155  0.9874933  0.26176903 0.42082947]",0.022222223
"[0.2611889  0.10234778 0.07813693 0.9229979  0.786746   0.7438769
 0.7909565  0.08452891 0.5315551  0.94601357 0.21625577 0.93044496
 0.6605644  0.9016127  0.4464958  0.6905846  0.04692339 0.5345817
 0.7445086  0.71564615 0.9283628  0.985296  ]",0.022222223
"[0.967957   0.896318   0.80011344 0.3108566  0.08149132 0.29852864
 0.46303937 0.17990227 0.7773617  0.58767575 0.57971424 0.7124033
 0.9309659  0.67518014 0.13364533 0.08655424 0.710191   0.6718946
 0.8201274  0.00565098 0.0560448  0.7454466 ]",0.022222223
"[0.87745744 0.12430222 0.5644234  0.07312189 0.89170974 0.6134121
 0.95960516 0.01394034 0.0172509  0.7263279  0.9064882  0.836512
 0.8622166  0.07203589 0.8434582  0.02144461 0.57344955 0.20142797
 0.43657592 0.65971947 0.35726002 0.38377142]",0.022222223
"[0.04606743 0.07196067 0.5695129  0.21738328 0.17617895 0.289548
 0.06956553 0.08293297 0.8354     0.6493827  0.5685021  0.18490751
 0.71580637 0.5035654  0.25945452 0.57975113 0.96636826 0.01887633
 0.00496718 0.63627875 0.88677037 0.15962645]",0.022222223
"[0.53673965 0.5762409  0.3836704  0.35906646 0.53328687 0.44981042
 0.5330279  0.5510499  0.48029074 0.46503323 0.49800006 0.5589201
 0.41633776 0.48300308 0.602582   0.44564143 0.43302587 0.5760465
 0.60153097 0.5792377  0.5355122  0.44509596]",0.022222223
