Points,Weights
"[0.46444276 0.46055827 0.32865822 0.5260473  0.21099365 0.4186986
 0.7301409  0.96886015 0.5806832  0.35868397 0.4482749  0.41620395
 0.7103924  0.56460214 0.6644433  0.96316946 0.32590935 0.4523698
 0.6561499  0.49847007 0.4176045  0.04805026 0.03894061 0.08557197
 0.02740424 0.01737138 0.15519775 0.0570915  0.03354843 0.7428396
 0.8130978 ]",0.015873017
"[0.86437535 0.78307194 0.6170181  0.6192874  0.21947154 0.9410161
 0.40175003 0.93442804 0.62566096 0.8312402  0.8757998  0.37747464
 0.30920765 0.5855369  0.40400198 0.50565934 0.833147   0.04998688
 0.51729494 0.10469153 0.97805804 0.17370825 0.63050365 0.47837496
 0.8080181  0.6021454  0.45350632 0.8896444  0.9690745  0.12609345
 0.00804711]",0.015873017
"[0.52715915 0.6031812  0.5741694  0.96559095 0.7113154  0.2529192
 0.12176442 0.9014603  0.9866129  0.2903359  0.11740603 0.6311581
 0.08248452 0.36679095 0.00853936 0.5844115  0.37135848 0.13612127
 0.14738874 0.29899725 0.755432   0.5367652  0.9227641  0.4274228
 0.4162854  0.9934908  0.03134291 0.24166551 0.14710027 0.98735833
 0.7712408 ]",0.015873017
"[0.35109633 0.3218855  0.60399175 0.27392796 0.6175448  0.23264329
 0.1569538  0.41611645 0.8127026  0.89483285 0.50681126 0.22339149
 0.7735668  0.71978754 0.6870924  0.2410104  0.49548835 0.7608356
 0.7432357  0.8224134  0.21494964 0.7874089  0.32199666 0.598068
 0.33056885 0.40079993 0.8275024  0.9504564  0.71467793 0.11216082
 0.2888607 ]",0.015873017
"[0.87663865 0.36832833 0.10631445 0.5270783  0.0577696  0.5281413
 0.37434086 0.43864343 0.34643194 0.44059068 0.1357018  0.18897976
 0.6615617  0.90585893 0.09216392 0.0292291  0.25179633 0.9785728
 0.95571667 0.02116808 0.6117459  0.57697237 0.9312067  0.46357524
 0.6764061  0.27004832 0.04343059 0.48774114 0.2080163  0.47008044
 0.37552983]",0.015873017
"[0.10533904 0.81707776 0.78524756 0.8376612  0.5083602  0.0582003
 0.0661177  0.3701874  0.40564173 0.06767517 0.7408044  0.14088938
 0.43778053 0.02801701 0.5842956  0.40468678 0.900815   0.5989827
 0.06815023 0.9709682  0.08690922 0.7344157  0.12510212 0.86017764
 0.6373309  0.7575991  0.39079243 0.9716411  0.9903289  0.44821686
 0.31987318]",0.015873017
"[0.5557128  0.8603981  0.94487095 0.958604   0.7234628  0.60295486
 0.09694264 0.07068948 0.863103   0.07159928 0.38509852 0.87293315
 0.02487441 0.18236543 0.00650649 0.74031305 0.6968837  0.821732
 0.4678956  0.3144682  0.9207091  0.20428534 0.15980433 0.9293742
 0.98533773 0.255924   0.02921466 0.45867816 0.5214204  0.6637658
 0.77320486]",0.015873017
"[0.5382432  0.21295696 0.4580046  0.6301382  0.52635795 0.16464
 0.40708324 0.3282026  0.26480076 0.6781521  0.59623915 0.8918113
 0.916413   0.47783265 0.08832223 0.6213892  0.8394816  0.819676
 0.82980293 0.763619   0.5928574  0.5425809  0.78009695 0.01474043
 0.7594526  0.76063895 0.6493443  0.28856194 0.68349487 0.6293556
 0.00679404]",0.015873017
"[0.28323022 0.75406134 0.17503129 0.26561454 0.79964465 0.7808067
 0.07855077 0.7557762  0.1379753  0.9203192  0.36086026 0.52505314
 0.6337316  0.14495997 0.86635584 0.12897614 0.05198384 0.6125063
 0.6818658  0.8525048  0.11076825 0.40712035 0.89400023 0.85806507
 0.14108333 0.5719785  0.575767   0.14217915 0.83451015 0.5454891
 0.3216093 ]",0.015873017
"[0.73124266 0.66326153 0.82929265 0.5920135  0.09807371 0.7823609
 0.7668401  0.57830864 0.19223659 0.5373005  0.98923737 0.43462363
 0.20005868 0.02997617 0.42889553 0.64486265 0.58842814 0.664424
 0.71762806 0.7740389  0.93080807 0.54917294 0.10165879 0.64874566
 0.39232072 0.8658006  0.6966988  0.6364069  0.7589416  0.06273685
 0.30275318]",0.015873017
"[0.83245456 0.3018327  0.61929524 0.7822884  0.8905542  0.14122547
 0.75711113 0.40690333 0.6164726  0.94183457 0.6622414  0.01235799
 0.59776044 0.08181424 0.8652392  0.06645641 0.99604475 0.07291137
 0.72279507 0.728113   0.6712397  0.92961526 0.6237674  0.05568566
 0.0559695  0.998615   0.60760355 0.31903002 0.3265996  0.67301553
 0.3576899 ]",0.015873017
"[0.6217079  0.26341513 0.68791467 0.34622276 0.900543   0.9422755
 0.6471369  0.6278216  0.04424296 0.43311313 0.12121776 0.13059114
 0.8057832  0.08250423 0.31363446 0.27592418 0.36379343 0.28279597
 0.38156006 0.9051463  0.9060799  0.19131714 0.01496468 0.84106785
 0.24417862 0.8425758  0.6091655  0.22649711 0.6299923  0.1119981
 0.5641104 ]",0.015873017
"[0.96043575 0.9539142  0.6678095  0.20776726 0.89965135 0.9541134
 0.7436356  0.1615403  0.22446555 0.14729483 0.18639117 0.4398095
 0.7480945  0.7475609  0.6998853  0.27610058 0.9250708  0.3902205
 0.19696724 0.06881773 0.8737183  0.5836262  0.7506418  0.36033887
 0.9683041  0.28743595 0.88832927 0.797299   0.16256937 0.41322163
 0.9219069 ]",0.015873017
"[0.72418576 0.70679706 0.30626732 0.2519793  0.5641022  0.29502618
 0.7640753  0.8876436  0.68161094 0.35580322 0.11793742 0.4759441
 0.5956808  0.90194315 0.11719001 0.90942323 0.40852016 0.58745563
 0.98496485 0.27452224 0.31344905 0.30566573 0.38185883 0.22114056
 0.12189491 0.70018977 0.03605895 0.35758036 0.27006745 0.46887484
 0.10880873]",0.015873017
"[0.5697059  0.04955456 0.28283745 0.8356493  0.6404231  0.6821312
 0.956678   0.29348886 0.90514374 0.53649884 0.14615111 0.3462629
 0.29054782 0.90320754 0.28286147 0.5009389  0.32068816 0.21077491
 0.24168648 0.2361364  0.32888675 0.2945819  0.21690282 0.10901704
 0.56134087 0.81441706 0.09849929 0.99262017 0.30675325 0.7130744
 0.16562274]",0.015873017
"[0.55815154 0.7773398  0.3322468  0.10334107 0.6678525  0.3566232
 0.67305976 0.6980257  0.9958403  0.6827475  0.80282736 0.83115715
 0.8348378  0.29171976 0.30852473 0.8121823  0.7579854  0.4623842
 0.408006   0.08080915 0.1861305  0.5534623  0.2528673  0.43227738
 0.4749221  0.06640962 0.24871433 0.717646   0.09579558 0.36670047
 0.67078376]",0.015873017
"[0.17644784 0.0282729  0.5382667  0.03861449 0.33002907 0.35273895
 0.18002154 0.9475663  0.4626568  0.0746021  0.5522303  0.66087383
 0.19095029 0.68906426 0.7960294  0.6098165  0.39228463 0.24684274
 0.8885093  0.8998768  0.25803939 0.7528904  0.03831207 0.71997833
 0.48289374 0.22571838 0.33619416 0.45353898 0.43666446 0.02827933
 0.5414967 ]",0.015873017
"[0.13865553 0.2714577  0.8220823  0.40320665 0.00641287 0.95813984
 0.8500991  0.8938948  0.27840197 0.7303613  0.34949526 0.9155808
 0.7693607  0.77033466 0.42650267 0.2370871  0.2138735  0.23352173
 0.37760168 0.5880735  0.21375003 0.20463035 0.11514983 0.32782662
 0.05687858 0.2516437  0.33522794 0.17287071 0.08419492 0.32722947
 0.60002923]",0.015873017
"[0.38101098 0.88647217 0.14718054 0.12739944 0.4132483  0.5952571
 0.94503194 0.11951342 0.845818   0.24859802 0.25955993 0.33954883
 0.3597874  0.7508245  0.6751058  0.8052193  0.05629019 0.08706023
 0.8073195  0.22351754 0.3093455  0.97584766 0.27205023 0.7536653
 0.70811826 0.85302716 0.9313038  0.5148358  0.54872066 0.27840787
 0.8870389 ]",0.015873017
"[0.92190754 0.4604443  0.3093859  0.7689041  0.11083877 0.17982385
 0.41538054 0.428988   0.77829266 0.18584245 0.6395374  0.09526858
 0.9456782  0.37718022 0.96885663 0.49610436 0.12949476 0.803614
 0.43820617 0.8578484  0.97903425 0.5203563  0.26310307 0.21861361
 0.83698344 0.48638794 0.2557731  0.312631   0.81424075 0.24159068
 0.8366787 ]",0.015873017
"[0.43096045 0.9344975  0.8155656  0.77818006 0.07705916 0.6231857
 0.7149557  0.08479911 0.5829808  0.45202413 0.60085654 0.14214344
 0.9649464  0.36701122 0.5515443  0.71604234 0.43029112 0.6918322
 0.20889874 0.20725967 0.02674234 0.7042288  0.2319232  0.5528175
 0.68389    0.28247356 0.21135664 0.751619   0.8645546  0.9879095
 0.6920756 ]",0.015873017
"[0.19576208 0.58679086 0.9561968  0.69597125 0.8950465  0.5436654
 0.09921734 0.03977994 0.86530775 0.96423584 0.48944193 0.86784637
 0.01612463 0.8783912  0.12937395 0.43441144 0.2416273  0.00590144
 0.9589249  0.6842565  0.67401206 0.5743621  0.1719738  0.3420105
 0.06614397 0.68689877 0.1032922  0.06501068 0.9621889  0.28356236
 0.26589784]",0.015873017
"[0.31239665 0.98186666 0.31163818 0.52414215 0.89098316 0.7147653
 0.8685613  0.40065172 0.07837845 0.05248186 0.61983633 0.98503083
 0.11755547 0.23474592 0.6461969  0.68985873 0.61025316 0.279569
 0.87988174 0.533564   0.75883543 0.73027337 0.81137645 0.16631757
 0.27604622 0.5872371  0.5057127  0.6639478  0.83850735 0.3080326
 0.81244   ]",0.015873017
"[0.2377573  0.34195474 0.02365991 0.02068673 0.16928922 0.77557284
 0.8766582  0.31922945 0.7436157  0.8864908  0.2943779  0.37645647
 0.41358882 0.61015874 0.14603369 0.22033332 0.72680503 0.49657983
 0.6284284  0.9426091  0.47097218 0.6614308  0.19205664 0.76848394
 0.08488    0.21317273 0.7404173  0.75756145 0.5030851  0.03014163
 0.3882646 ]",0.015873017
"[0.04390141 0.801092   0.48024377 0.9565532  0.8440531  0.83176666
 0.57483196 0.09359189 0.8969608  0.94453853 0.52972883 0.43324628
 0.51756567 0.99774504 0.78207105 0.13720821 0.1806892  0.9623918
 0.6842697  0.30852383 0.24360262 0.03755629 0.5330414  0.9174186
 0.94415003 0.86992466 0.33849737 0.11718892 0.345953   0.85815173
 0.5463334 ]",0.015873017
"[0.72114635 0.1479956  0.01792729 0.14676277 0.61576355 0.6272204
 0.58350897 0.26920104 0.31986392 0.9443686  0.20580822 0.7924381
 0.14120524 0.70488924 0.22568795 0.2514184  0.55041295 0.19971278
 0.43040532 0.29304773 0.42085496 0.54189885 0.13724451 0.9017733
 0.48861232 0.7209084  0.7369972  0.9426046  0.34066588 0.8746333
 0.8352221 ]",0.015873017
